title,brand,categories,description,tags,image-link,site-link
Cleaning Drop Glass – Sea Spray,Ocean Saver,['Bathroom'],"A plastic-free, no fuss alternative to household cleaning, these water soluble sachets are ideal for those seeking a nature friendly and zero waste solution. Made from naturally derived plant extracts and materials, this box includes a water soluble concentrate sachet, ready to dilute with water in a reused spray bottle, glass jar or one of our amber glass spray bottles. A clever and innovative way to reduce plastic and unnecessary waste, while still using super efficient cleaners in the home. Please note – the label inside the box is for anti bac.  The product inside the box is correct.  A new label can be sent if required.","['Plastic Free', 'Vegan', 'Sustainable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/05/ocean-saver-sea-spray-600x600.jpg,https://www.peacewiththewild.co.uk/product/cleaning-drop-glass-sea-spray/
Patchouli & Rose Body Oil – 100ml,Little Green Skincare,"['Skincare', 'Body Oil']","A luxurious blend of four plant-based oils to moisturise your skin, leaving it silky smooth and naturally scented. This Patchouli and Rose body oil has a beautiful scent with gentle cleaning and anti inflammatory properties. This body oil is loaded with therapeutic benefits for the skin.","['Vegan', 'Natural', 'Recyclable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/05/little-green-skincare-body-oil-patchouli-rose-600x600.jpg,https://www.peacewiththewild.co.uk/product/patchouli-rose-body-oil-100ml/
Natural Active Deodorant Balm – Orange & Bergamot Mini 10g,The Natural Deodorant Co.,"['Skincare', 'Deodorants', 'Deodorant Tins']","Orange and bergamot active deodorant balm is bound to become your ‘go-to’ vegan and natural deodorant! Made in the UK, by The Natural Deodorant Co. A naturally powerful formula when you need your deodorant to go the extra mile; perfect for gym days, holidays and extra busy days. In a mini size, perfect while on-the-go or if you want to discover the right deodorant for you! A zesty, citrus scent of orange and bergamot essential oils, whipped with luscious shea butter and coconut oil that nourishes, and blended with antibacterial magnesium oxide and sodium bicarbonate for all-day odour and wetness protection.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Made In UK', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/07/ndc-active-organge-bergamot-600x594.jpg,https://www.peacewiththewild.co.uk/product/the-natural-deodorant-co-natural-active-deodorant-balm-orange-bergamot-mini-10g/
Reusable Bamboo Kitchen Roll,Re:gn,['For The Home'],"Introducing re:gn’s Bamboo Towels – Say goodbye to wasteful single-use products and embrace the eco-friendly alternative. Made from natural materials, these towels are the perfect sustainable swap for the eco household. Bamboo is super soft and extra absorbent which is ideal for using around the home. Each sheet can be used at least 120 times if cared for properly, that’s a lot of kitchen roll! Make the swap today and see the difference.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/01/Regn-Bamboo-Kitchen-Roll-2-600x600.jpg,https://www.peacewiththewild.co.uk/product/reusable-bamboo-kitchen-roll/
Vegan Foundation Stick – Golden Beige 772,ZAO,"['Makeup', 'Complexion', 'Foundations']","Zao foundation stick made with natural, vegan and organic ingredients are kind to your skin and our planet! Perfect to even out, correct, touch up and contour the complexion of your skin, giving a beautiful finish that unifies the natural skin complexion and camouflages imperfections. Zao foundation stick is blended with organic jojoba oils, organic shea butter, organic carnauba wax that leave the skin feeling nourished and moisturised!","['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/04/zao-foundation-sticks-772-1-600x600.jpg,https://www.peacewiththewild.co.uk/product/zao-vegan-foundation-stick-golden-beige-772/
Recycled Woven Bucket Bag – Pebble,ReSpiin,['For The Home'],"Elevate your everyday style while making an eco-conscious choice with this Recycled Woven Bucket Bag in Pebble. Crafted from sustainable materials, this chic and versatile bag combines modern fashion with environmental responsibility. The neutral pebble shade effortlessly complements any outfit, while the sturdy woven design ensures durability for daily use. Whether you’re heading to the office, the market, or a weekend getaway, this spacious yet stylish bucket bag is perfect for carrying all your essentials. By choosing this recycled bag, you’re not just accessorizing — you’re helping reduce waste and support a greener planet.","['Vegan', 'Palm Oil Free', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/09/respin-bucket-pebble-600x594.jpg,https://www.peacewiththewild.co.uk/product/recycled-woven-bucket-bag-pebble/
Organic Mesh Vegetable Bag – Small,The Foragers Cottage,"['On-The-Go', 'Produce Bags']","Perfect for keeping loose groceries protected whilst minimising your impact on the planet. These Small Vegetable Grocery Bags are a sustainable way to bring groceries home, whether it be from your allotment or local greengrocers.","['Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/11/small-veg-bag-600x600.jpg,https://www.peacewiththewild.co.uk/product/organic-mesh-vegetable-bag-small/
Children’s Natural Beech Wood Toothbrush – Rabbit,Eco Living,"['Bathroom', 'Toothbrushes']","Eco Living natural beech wood toothbrush with 100% plant-based soft bristles for children. Featuring rabbit design to make brushing teeth a bit more fun. The sustainable beech wood used for the biodegradable handle is Sustainably certified, making a plastic free toothbrush alternative to help reduce waste and transform your dental care routine.","['Vegan', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/12/eco-living-kids-toothbrush-rabbit-600x600.jpg,https://www.peacewiththewild.co.uk/product/childrens-natural-beech-wood-toothbrush-rabbit/
Eco Glitter 2 Piece Set – Tinkerbell & Under the Sea,Eco Glitter Fun,"['Makeup', 'Glitter', 'Glitter Sets']","Biodegradable glitter set containing a groovy, sparkling mix of 2 glitters. Includes Tinkerbell and Under the Sea blends of  biodegradable glitter. Perfect for parties and festivals; add a touch of guilt-free sparkle wherever you go!","['Biodegradable', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/05/eco-glitter-fun-tinkerbell-03-600x600.jpg,https://www.peacewiththewild.co.uk/product/eco-glitter-2-piece-set-tinkerbell-under-the-sea/
Hair Heroes Gift Set – Moo Hair,Moo Hair,"['Gifts', 'Gift Sets']","Treat yourself to a hair spa at home. The hair mask leaves your hair feeling rehydrated, strong, silky and shiny. Marula oil and Icelandic moss lock-on moisture. Our Miracle Milk hydrates, de-frizzes, de-tangles, softens and adds body. Ideal for all hair types, thanks to its naturally, light consistency. Moo candle made with a peony blush fragrance.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/10/moo-hair-gift-boxes-6-600x600.jpg,https://www.peacewiththewild.co.uk/product/hair-heroes-gift-set-moo-hair/
Gua Sha Facial Massage Stone,UpCircle,"['Skincare', 'Skincare Accessories']","Unveil your skin’s radiance with the Upcircle Gua Sha Facial Massage Stone. Crafted from sleek stainless steel, this beauty tool embraces the art of ancient Chinese ‘gua sha.’ Release tension, reduce puffiness, and boost circulation for a healthy glow. Its unique wing shape contours effortlessly, while lymphatic drainage ensures a revitalized complexion. Elevate your self-care ritual with this elegant and effective beauty secret.","['Vegan', 'Palm Oil Free', 'Plastic Free', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/07/Upcircle-Gua-Sha-1-600x600.jpg,https://www.peacewiththewild.co.uk/product/gua-sha-facial-massage-stone/
Dry Hair Liquid Conditioner – 250ml,Bain & Savon,"['Haircare', 'All Conditioners', 'Conditioner Liquid']","Hand made in Cumbria, UK, organic Baobab oil liquid hair conditioner for dry hair types handcrafted by Bain & Savon. Blended with baobab seed oil this liquid conditioner is super nourishing, reviving dry hair and leaving it feeling soft and silky. Choose either with a pump or the refill bottle with a metal cap.","['Vegan', 'Natural', 'Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/11/bain-savon-dry-hair-liquid-conditioner-glass-pump-600x600.jpg,https://www.peacewiththewild.co.uk/product/bain-savon-dry-hair-liquid-conditioner-250ml/
"Brunch Soft-Baked Dog Chews – Avocado, Honey & Salmon 75g",Denzel's,"['For The Home', 'Pets Supplies', 'Dog Treats']","The perfect brunch time treat for your furry friend! Denzel’s brunch dog chews are low sugar, low calorie and made with natural ingredients such as avocado, eggs and salmon! These healthy and tasty dog chews are perfect when training and also make the perfect treat for your dog after a lovely sunny walk. With locally sourced honey which works wonders for sensitive tummies! All Denzel’s dog chews are hypoallergenic, free from artificial additives and grain-free. They are even hand-baked in their UK bakery over sustainable wood chip ovens.","['Natural', 'Plastic Free', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/07/denzel-brunch-chews-600x600.jpg,https://www.peacewiththewild.co.uk/product/denzels-brunch-soft-baked-dog-chews-avocado-honey-salmon-75g/
Wide Neck Baby Glass Bottle With Sleeve – Powder Pink 250ml,Hevea,"['Mama & Baby', 'Baby Bottles']","HEVEA Wide Neck Baby Glass Bottle, the first Danish-designed plastic-free solution for your little one. This practical bottle is perfect for formula milk, thanks to its wider neck for easy spooning. With a natural rubber sleeve, it protects hands from heat and safeguards the robust borosilicate bottle. The pack includes a 250ml/5oz bottle, anti-colic nipple, vacuum-sealing cap, and sleeve. No leaks or spills with the one-piece natural rubber nipple and vacuum-seal cap. Experience the cherry-shaped, ribbed nipple that mimics a mum’s breast with an integrated anti-colic valve.","['Vegan', 'Palm Oil Free', 'Plastic Free', 'Recyclable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/07/Hevea-Bottle-With-Sleeve-Pink-250ml-600x600.jpg,https://www.peacewiththewild.co.uk/product/wide-neck-baby-glass-bottle-with-sleeve-powder-pink-250ml/
Natural Deodorant Balm – Fragrant Berry 75g,Scence,"['Skincare', 'Deodorants', 'Deodorant Sticks']","Scence fragrant berry natural deodorant balm is a soothing and protective balm perfect for all day odour protection. Leave underarms feeling soothed and cared for! Blended with nourishing organic coconut oil, mango butter, magnesium and organic arrowroot to help absorb moisture and reduce sweating. Free from bicarbonate of soda and blended with a delightful sweet scent of juniperberry essential oils for a long lasting freshness.","['Natural', 'Vegan', 'Biodegradable', 'Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/04/scence-deodorant-fragrant-berry-11-600x600.jpg,https://www.peacewiththewild.co.uk/product/scence-natural-deodorant-balm-fragrant-berry-75g/
BARBER PRO Niacinamide Blemish Control Face Serum – 30ml,BEAUTYPRO,"['Skincare', 'Facial Serums']","The BARBER PRO Blemish Control Serum with Niacinamide is a balancing formula that aids the skin in preventing breakouts and improving texture. Using the powers of niacinamide, CICA and Chia Seed, this formula will help to tackle acne and blemishes to help you to achieve smooth and calm skin.The formula is packed full of vitamins and antioxidants which will help to soothe and protect the skin. Niacinamide is a powerful ingredient for blemish control due to its abilities to reduce redness, regulate oil and protect against sun damage, while Cica stimulates the production of collagen and combats acne.","['Vegan', 'Palm Oil Free', 'Recyclable', 'Biodegradable', 'Handmade', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/06/BARBER-PRO-Blemish-Control-Serum-600x600.jpg,https://www.peacewiththewild.co.uk/product/barber-pro-niacinamide-blemish-control-face-serum-30ml/
Long Handle Reusable Bamboo Interdental Brushes – 7 Pack – Size 6,LIVECOCO,['Bathroom'],"Long handle Interdental Brushes by LIVECOCO. With size 7 1mm bristles for larger gaps, these interdental sticks will elevate your oral hygiene and leave your mouth fresher than ever. The innovative long handle is seldom seen with interdental brushes, which is what makes these brushes so good! Forget the days of reaching into every nook and cranny, LIVECOCO interdental brushes will change the way you clean your teeth.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable', 'Biodegradable', 'Handmade', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/03/Livecoco-Interdental-Size-6-600x600.jpg,https://www.peacewiththewild.co.uk/product/long-handle-reusable-bamboo-interdental-brushes-7-pack-size-6/
Hunter’s Icy Adventure – Sustainable Children’s Book,Wild Tribe Heroes,"['Mama & Baby', 'Toys & Books', ""Children's Books""]","The Wild Tribe Heroes books are a collection of gentle and engaging true stories about animals that find themselves in trouble when their lives are affected by plastic in the oceans or palm oil deforestation. Follow each one of our heroes to see what happens, how they are saved and what you can do to help them! Children and adults alike will love these books and feel inspired to make positive changes to their own lives and their communities.","['Plastic Free', 'Vegan', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2020/07/hunters-adventure-3-600x600.jpg,https://www.peacewiththewild.co.uk/product/hunters-icy-adventure-sustainable-childrens-book/
Mineral Butter Suncream SPF 30 – 70g,Amazinc,"['Skincare', 'Suncream']","A natural, vegan sun cream with a buttery texture that melts into the skin, Amazinc Mineral Butter has an SPF 30. This reef safe sun cream gives effective protection, yet is harmless to marine life and the planet. Key ingredients such as almond butter help soothe dry skin, while the Amazinc Mineral Shield Light provides natural sun protection.","['Vegan', 'Natural', 'Plastic Free', 'Biodegradable', 'Handmade']",https://www.peacewiththewild.co.uk/wp-content/uploads/2019/08/amazinc-mineral-butter-update-600x600.jpg,https://www.peacewiththewild.co.uk/product/amazinc-mineral-butter-suncream-spf30-70g/
Shade Mix Seedball Grab Bag,Seedball,"['For The Home', 'Gardening']","Shade Mix by Seedball is a simpler and more natural way to grow from seed. A bag of 100 seed balls with a natural mix of native wildflower seeds that are designed to bring pollinators to your garden! Seed balls support local pollinator populations such as butterflies and bees with their nectar rich wildflowers including meadowsweet, bellflower, oxeye daisy, ragged robin and meadow buttercup. Seedball Shade Mix is perfect for gardeners and being easy to use you don’t need any expert knowledge! Transform the shadier areas of your garden and turn into a colourful space for the bees and their friends.","['Vegan', 'Natural', 'Plastic Free', 'Made In UK', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/09/seedball-shade-mix-bag-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/shade-mix-seedball-grab-bag/
Uber Body Oil – 100ml,Our Tiny Bees,"['Skincare', 'Body Oil']","Made in Yorkshire, UK with only natural and vegan ingredients that are nourishing, moisturising and soothing on the skin! Our Tiny Bees uber body oil is perfect for daily use, helping lock in moisture and keep skin healthy. Perfect for dry and sensitive skin and those with skin conditions such as eczema and psoriasis. A formulation blended with natural almond oil, oat oil and vitamin E to create a skin loving oil that is anti-inflammatory. Free from essential oils, making it suitable for skin conditions such as eczema and psoriasis.","['Vegan', 'Natural', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/05/our-tiny-bees-uber-body-oil-600x600.jpg,https://www.peacewiththewild.co.uk/product/our-tiny-bees-uber-body-oil-100ml/
Green Clay & Kelp Mask – 30g,Wild Sage & Co,"['Skincare', 'Face Masks']","A soothing face mask to give your skin a deep cleanse and vitamin boost. This all natural clay + kelp mask is rich in minerals and vitamins, and gives your skin the extra tender loving care your skin needs. This face mask is ideal for acne prone & sensitive skin. The clay works to draw out impurities from the skin whilst kelp provides additional minerals & vitamins.","['Natural', 'Recyclable', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/03/wild-sage-green-clay-1-600x600.jpg,https://www.peacewiththewild.co.uk/product/green-clay-kelp-mask-30g/
The Survival Bracelet Kit,The Den Kit Company,"['Gifts', 'Gift Sets']","A length of strong paracord could come in useful for all sorts of survival situations – and woven into a bracelet to wear on your wrist or clip on your kit bag, you’ll never be without it. This absorbing and practical mini kit contains the tools and tips for making two – because a survival bracelet could be the most useful accessory you’ll ever wear, and is definitely the most fun to make! The kit includes components that are natural and sustainably sourced! Perfect for a keen gardener or budding survivalist. Children will love this eco-friendly activity kit that is ideal for the whole family to get involved in.","['Vegan', 'Natural', 'Plastic Free', 'Sustainable', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/03/the-den-kit-survival-bracelet-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/the-survival-bracelet-kit/
Scalp Clarifying Shampoo – 250ml,Nirvana Natural,"['Haircare', 'All Shampoo', 'Shampoo Liquid']","Scalp clarifying shampoo with an active botanical blend to help nourish, stimulate and revive the scalp and repair the scalps natural structure for hair that is beautifully soft and full of health. This vegan shampoo is suitable for all hair types and is completely plastic free! Nirvana Natural scalp clarifying shampoo, with a blend of tea tree, lime, peppermint and lavender essential oils hair will smell delightful and be beautifully nourished! Available in a plastic free bottle and compostable refill pouch.   Refills include an additional 10% more product in each pouch to account for any potential loss due to evaporation. This ensures you receive the full intended amount for optimal use. Please decant right away once received.","['Natural', 'Vegan', 'Plastic Free', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/03/nirvana-natural-scalp-clarifying-shampoo-600x600.jpg,https://www.peacewiththewild.co.uk/product/nirvana-natural-scalp-clarifying-shampoo-250ml/
Stainless Steel Spatula,truthpaste,['Bathroom'],"A small and nifty way to avoid drips from your jar. This stainless steel, reusable spatula is ideal for sharing your jar of Truthpaste hygienically and waste-free.","['Recyclable', 'Plastic Free']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/10/truthbrush-spatula-silver-600x600.jpg,https://www.peacewiththewild.co.uk/product/stainless-steel-spatula/
Plantable Paper Gift Tags – Stars,Vida Natural,"['For The Home', 'Stationery', 'Gift Wrap']","Vida Natural plantable gift tags in a festive star design are perfect for adding a personal touch to your gifts! Made in the UK by Vida Natural, plantable gift tags also support local pollinator populations such as bees and butterflies as the tags can be planted to grow into beautiful wildflowers. A plastic free alternative that helps reduce waste and allows you to give back to nature!","['Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/11/plantable-tags-star-600x600.jpg,https://www.peacewiththewild.co.uk/product/plantable-paper-gift-tags-stars/
Bamboo Baby Fork & Spoon (12m+),Bambu,['Mama & Baby'],"This Baby fork and spoon set is made from natural certified organic bamboo, a safer and healthier alternative to plastic.  Especially designed to be easy to use, safe and eco-friendly.","['Natural', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/02/bambu-Baby-Fork-Spoon-12m-600x600.jpg,https://www.peacewiththewild.co.uk/product/bamboo-baby-fork-spoon-12m/
Mineral Eyeshadow – Bolds,Love The Planet,"['Makeup', 'Eyes', 'Eyeshadows']","Vegan & cruelty free, these beautifully bold mineral eyeshadows from Love the Planet can be applied dry for a wash of colour, or wet for maximum impact! This natural eyeshadow can also be used as an eyeliner. Please choose your colour carefully as refunds are not available on this product once received.","['Vegan', 'Natural', 'Plastic Free', 'Handmade', 'Made In UK']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/01/love-the-planet-eyeshadow-aquamarine-600x600.jpg,https://www.peacewiththewild.co.uk/product/mineral-eyeshadow-bolds/
Shark Safety Razor Blades – 100 Hanging Pack,Shark,['Skincare'],"20 packs of 5 superior steel replacement safety razor blades for the double edge safety razor. These blades fit all safety razors on our site. Super sharp to give a smooth, close shave which will leave your skin hair free. The single blade combined with the design of the safety razor helps prevent ingrowing hairs and shaving rash.","['Plastic Free', 'Sustainable', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2023/02/shark-100-razor-blades-01-600x600.jpg,https://www.peacewiththewild.co.uk/product/safety-razor-blades-100-hanging-pack/
30 Shampoo and Body Wash Cubes – Sensitive Scalp,Hedgerow & Moor,"['Haircare', 'All Shampoo', 'Shampoo Cubes']","A unique, sustainable shampoo and body wash that creates an amazing lather and is fragrance free, making it perfect for those with allergies or sensitivities. Plus, the prebiotic blend helps keep your scalp healthy while the chickweed powder, mustard seed oil and passionflower oil leave your hair looking soft, shiny and healthy. From the creators of Beauty Kubes, these plastic free shampoo cubes are the perfect, guilt-free solution to achieving healthy hair and scalp.","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Biodegradable', 'Handmade', 'Made In UK', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2022/10/hedgerow-moor-shampoo-body-wash-passion-flower-02-600x600.jpg,https://www.peacewiththewild.co.uk/product/shampoo-and-body-wash-for-sensitive-scalp/
Flax Seeds,Peace With The Wild - Refill,"['Food & Drink', 'Nuts & Seeds', 'Seeds']","Nutritious and delicious, flax seeds are a food pantry essential. Great for a vegan diet, flax seeds are a perfect source of minerals, fibre and protein. Chia seeds are a versatile ingredient that can be used in puddings, breakfasts, salads and hot dishes. All our refill dried food is packaged in recyclable paper bags for sustainable living!","['Vegan', 'Palm Oil Free', 'Natural', 'Plastic Free', 'Recyclable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2021/08/refill-food-flax-600x600.jpg,https://www.peacewiththewild.co.uk/product/flax-seeds/
Kitchen Dish Cloth – Green,Jungle Culture,"['Kitchen', 'Dish Cloths & Towels']",Our multi-functional kitchen & bathroom cleaning cloths are the perfect natural alternative to conventional plastic sponges. All of our eco-friendly washing up cloths are fitted with a small storage pouch for easy suds!,"['Organic', 'Plastic Free', 'Biodegradable', 'Sustainable']",https://www.peacewiththewild.co.uk/wp-content/uploads/2024/05/dish-cloth-green-600x594.jpg,https://www.peacewiththewild.co.uk/product/reusable-dish-cloth-green/
